Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
1340462197,1319950243.0,MODI,TRAD,2025-01-20T14:31:35Z,True,EQ,nan,N,nan,2025-01-07T14:32:16Z,2025-01-07,2026-06-23,nan,False,BILT,nan,nan,nan,"26,000,000",nan,JPY,nan,nan,nan,"5,300",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"4,905.983775415",ACCY,nan,nan,nan,nan,nan,nan,False,JPY,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,JPY,nan,nan,nan,False,nan,JP3743000006,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ810F07DXRT,NA/Swaps SStk Tot Rtn,COM STK
1340426918,1335989518.0,MODI,TRAD,2025-01-20T12:48:10Z,True,EQ,nan,N,nan,2025-01-16T21:17:17Z,2025-01-16,2025-12-31,nan,False,BILT,nan,nan,nan,735,nan,USD,nan,nan,nan,35,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.4156288,ACCY,nan,nan,nan,nan,nan,nan,False,USD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,USD,nan,nan,nan,False,nan,US1266001056,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ721325XRTH,NA/Swaps SStk Tot Rtn,COM
1340427473,1326973553.0,MODI,TRAD,2025-01-20T12:48:20Z,True,EQ,nan,N,nan,2025-01-10T21:23:20Z,2025-01-10,2025-12-31,nan,False,BILT,nan,nan,nan,"84,000",nan,USD,nan,nan,nan,"5,800",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.426485,ACCY,nan,nan,nan,nan,nan,nan,False,USD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,USD,nan,nan,nan,False,nan,US6443931000,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZMK7CLXRT2P,NA/Swaps SStk Tot Rtn,CL A
1340386189,1340023879.0,MODI,TRAD,2025-01-20T11:25:38Z,True,EQ,nan,N,nan,2025-01-20T09:02:57Z,2025-01-20,2026-11-27,nan,False,BILT,nan,nan,nan,"6,500",nan,USD,nan,nan,nan,"1,100",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.3090944,ACCY,nan,nan,nan,nan,nan,nan,False,CNY,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,USD,nan,nan,nan,False,nan,CNE1000032Q9,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZVQK2XRTF11,NA/Swaps SStk Tot Rtn,ZD LEADER\REGISTERED\SHARES A\002896
1340398735,1251681995.0,MODI,TRAD,2025-01-20T11:50:28Z,True,EQ,nan,N,nan,2024-11-20T11:50:47Z,2024-11-20,2026-09-28,nan,False,BILT,nan,nan,nan,"500,000",nan,JPY,nan,nan,nan,100,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"5,000.54872018332",ACCY,nan,nan,nan,nan,nan,nan,False,JPY,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,JPY,nan,nan,nan,False,nan,JP3743000006,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ810F07DXRT,NA/Swaps SStk Tot Rtn,COM STK
1340398863,1251681823.0,MODI,TRAD,2025-01-20T11:50:28Z,True,EQ,nan,N,nan,2024-11-20T11:50:45Z,2024-11-20,2025-11-13,nan,False,BILT,nan,nan,nan,"5,000,000",nan,JPY,nan,nan,nan,"1,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"5,000.54872018332",ACCY,nan,nan,nan,nan,nan,nan,False,JPY,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,JPY,nan,nan,nan,False,nan,JP3743000006,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ810F07DXRT,NA/Swaps SStk Tot Rtn,COM STK
1340402833,1322173583.0,MODI,TRAD,2025-01-20T12:08:52Z,True,EQ,nan,N,nan,2025-01-08T12:08:54Z,2025-01-08,2026-10-30,nan,False,BILT,nan,nan,nan,"28,000",nan,AUD,nan,nan,nan,"11,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6635735995,ACCY,nan,nan,nan,nan,nan,nan,False,AUD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AUD,nan,nan,nan,False,nan,AU000000RRL8,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZRMQGG4XRTN,NA/Swaps SStk Tot Rtn,ORDINARY FULLY PAID
1340403229,1322173583.0,MODI,TRAD,2025-01-20T12:08:57Z,True,EQ,nan,N,nan,2025-01-08T12:08:54Z,2025-01-08,2026-10-30,nan,False,BILT,nan,nan,nan,"30,000",nan,AUD,nan,nan,nan,"11,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.7220544485,ACCY,nan,nan,nan,nan,nan,nan,False,AUD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AUD,nan,nan,nan,False,nan,AU000000RRL8,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZRMQGG4XRTN,NA/Swaps SStk Tot Rtn,ORDINARY FULLY PAID
1340403303,1218845702.0,MODI,TRAD,2025-01-20T12:08:57Z,True,EQ,nan,N,nan,2024-10-31T14:50:16Z,2024-10-31,2026-10-30,nan,False,BILT,nan,nan,nan,"16,000",nan,AUD,nan,nan,nan,"12,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3342246,ACCY,nan,nan,nan,nan,nan,nan,False,AUD,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,AUD,nan,nan,nan,False,nan,AU000000GEM7,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ9CMP5NXRTR,NA/Swaps SStk Tot Rtn,ORDINARY FULLY PAID
1340421679,1339784513.0,TERM,ETRM,2025-01-20T12:28:39Z,nan,EQ,nan,N,nan,2025-01-20T08:18:28Z,2025-01-20,2025-02-24,nan,False,XXXX,nan,nan,nan,"44,000",nan,USD,nan,nan,nan,5,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9459325564189,ACCY,nan,0.0,nan,nan,nan,nan,False,USD,1.0,nan,3.0,nan,nan,nan,nan,A004,nan,MNTH,nan,1.0,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,USD,USD,nan,nan,False,nan,CNE1000032Q9,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZVQK2XRTF11,NA/Swaps SStk Tot Rtn,ZD LEADER\REGISTERED\SHARES A\002896
1340421685,1339783935.0,TERM,ETRM,2025-01-20T12:28:39Z,nan,EQ,nan,N,nan,2025-01-20T08:18:28Z,2025-01-20,2025-02-24,nan,False,XXXX,nan,nan,nan,"7,100",nan,USD,nan,nan,nan,5,nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.9166583311334,ACCY,nan,0.0,nan,nan,nan,nan,False,USD,1.0,nan,3.0,nan,nan,nan,nan,A004,nan,MNTH,nan,1.0,nan,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,USD,USD,nan,nan,False,nan,CNE1000032Q9,nan,ISIN,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZVQK2XRTF11,NA/Swaps SStk Tot Rtn,ZD LEADER\REGISTERED\SHARES A\002896
1340299936,1307324155.0,MODI,TRAD,2025-01-20T10:04:12Z,True,EQ,nan,N,nan,2024-12-27T09:12:20Z,2025-01-06,2026-01-28,nan,False,BILT,nan,nan,nan,"28,000,000",nan,JPY,nan,nan,nan,"14,000",nan,nan,nan,SHAS,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,066.068071034",ACCY,-0.0168699394,nan,nan,nan,nan,nan,False,JPY,1.0,3.0,nan,nan,nan,nan,A005,nan,MNTH,nan,1.0,nan,nan,nan,MNTH,nan,nan,nan,1.0,nan,nan,nan,nan,JPY,nan,nan,nan,False,nan,3028.T,nan,RIC,nan,nan,nan,OPET,nan,nan,False,nan,nan,nan,nan,nan,nan,nan,nan,QZ92FMZRXRTD,NA/Swaps Sgle Stk Tot Rtn,COM STK
